2025-12-31 11:25:21.289 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-31 11:25:21.694 [main] INFO  xw.szbz.cn.repository.RepositoryTest - Started RepositoryTest in 5.193 seconds (process running for 6.412)
2025-12-31 11:25:22.748 [SpringApplicationShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-12-31 11:25:22.751 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-31 11:25:22.755 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-12-31 11:25:37.328 [main] INFO  xw.szbz.cn.repository.RepositoryTest - Starting RepositoryTest using Java 17.0.2 with PID 16312 (started by 86186 in d:\project\szbz)
2025-12-31 11:25:37.330 [main] INFO  xw.szbz.cn.repository.RepositoryTest - No active profile set, falling back to 1 default profile: "default"
2025-12-31 11:25:38.241 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-31 11:25:38.335 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 81 ms. Found 3 JPA repository interfaces.
2025-12-31 11:25:38.992 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-12-31 11:25:39.097 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-12-31 11:25:39.151 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-12-31 11:25:39.616 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-31 11:25:39.651 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-31 11:25:39.809 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.sqlite.jdbc4.JDBC4Connection@3ba3f40d
2025-12-31 11:25:39.812 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-31 11:25:40.739 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-12-31 11:25:40.775 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-12-31 11:25:41.497 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-31 11:25:41.897 [main] INFO  xw.szbz.cn.repository.RepositoryTest - Started RepositoryTest in 4.993 seconds (process running for 6.063)
2025-12-31 11:25:42.621 [SpringApplicationShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-12-31 11:25:42.623 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-31 11:25:42.623 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-12-31 11:25:52.464 [main] INFO  xw.szbz.cn.repository.RepositoryTest - Starting RepositoryTest using Java 17.0.2 with PID 11736 (started by 86186 in d:\project\szbz)
2025-12-31 11:25:52.464 [main] INFO  xw.szbz.cn.repository.RepositoryTest - No active profile set, falling back to 1 default profile: "default"
